Ex-DividendDate,CashAmount,Record Date,Pay Date
"May 23, 2025",25.000 PHP,"May 26, 2025","Jun 5, 2025"
"Feb 19, 2025",25.000 PHP,"Feb 20, 2025","Mar 7, 2025"
"Nov 20, 2024",25.000 PHP,"Nov 21, 2024","Dec 6, 2024"
"Aug 19, 2024",25.000 PHP,"Aug 20, 2024","Sep 5, 2024"
"May 27, 2024",25.000 PHP,"May 28, 2024","Jun 13, 2024"
"Feb 20, 2024",25.000 PHP,"Feb 21, 2024","Mar 7, 2024"
"Nov 16, 2023",25.000 PHP,"Nov 17, 2023","Dec 1, 2023"
"Aug 25, 2023",25.000 PHP,"Aug 29, 2023","Sep 8, 2023"
"May 15, 2023",25.000 PHP,"May 18, 2023","Jun 2, 2023"
"Feb 15, 2023",25.000 PHP,"Feb 20, 2023","Mar 8, 2023"
"Nov 22, 2022",25.000 PHP,"Nov 25, 2022","Dec 9, 2022"
"Aug 22, 2022",27.000 PHP,"Aug 25, 2022","Sep 9, 2022"
"May 16, 2022",27.000 PHP,"May 19, 2022","Jun 3, 2022"
"Feb 17, 2022",27.000 PHP,"Feb 22, 2022","Mar 10, 2022"
"Nov 22, 2021",27.000 PHP,"Nov 25, 2021","Dec 10, 2021"
"Aug 16, 2021",27.000 PHP,"Aug 19, 2021","Sep 3, 2021"
"May 18, 2021",27.000 PHP,"May 21, 2021","Jun 4, 2021"
"Feb 19, 2021",27.000 PHP,"Feb 24, 2021","Mar 11, 2021"
"Nov 13, 2020",31.330 PHP,"Nov 17, 2020","Dec 3, 2020"
"Aug 12, 2020",24.830 PHP,"Aug 17, 2020","Sep 2, 2020"
